CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,Genotoxicity,HormoneSummary,INCHIKEY,SMILES
57835-92-4,DTXSID5074844,4-Nitropyrene,MC,"IARC, ROC15, CCRIS, Rudel2007",positive,-,UISKIUIWPSPSAV-UHFFFAOYSA-N,C1=CC2=C3C(=C1)C=C(C4=CC=CC(=C43)C=C2)[N+](=O)[O-]
58-22-0,DTXSID8022371,Testosterone,MC,"IARC, CCRIS, Rudel2007",negative,-,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
5834-17-3,DTXSID9020825,2-Methoxy-3-aminodibenzofuran,MC,"LCDB, Rudel2007",-,-,SGQVWNYSHWQNOS-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)N
58917-67-2,DTXSID9036779,Benzo(a)pyrene diolepoxide 1,MC,"CCRIS, Rudel2007",positive,-,DQEPMTIXHXSFOR-WCIQWLHISA-N,C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4[C@@H]6[C@@H](O6)[C@H]([C@@H]5O)O)C=C2
59-35-8,DTXSID0020496,"4,6-Dimethyl-2-(5-nitro-2-furyl) pyrimidine",MC,"LCDB, Rudel2007",-,-,RYBISXUKVTYYNN-UHFFFAOYSA-N,CC1=CC(=NC(=N1)C2=CC=C(O2)[N+](=O)[O-])C
59-87-0,DTXSID5020944,Nitrofurazone,MC,"IARC, NTP, ToxRefDB, ToxValDB, CCRIS, LCDB, Rudel2007",positive,negative,IAIWVQXQOWNYOU-FPYGCLRLSA-N,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N
5915-41-3,DTXSID4027608,Terbutylazine,MC,"EPA_OPP_dismissed, ToxRefDB",negative,"E2, *P4",FZXISNSWEXTPMF-UHFFFAOYSA-N,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C
595-33-5,DTXSID9040683,Megestrol acetate,MC,"IARC, CCRIS, Rudel2007",positive,-,RQZAXGRLVPAYTJ-GQFGMJRRSA-N,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
60-57-1,DTXSID9020453,Dieldrin,MC,IARC,positive,negative,DFBKLUNHFCTMDC-PICURKEMSA-N,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl
602-87-9,DTXSID3020960,5-Nitroacenaphthene,MC,"IARC, NTP, CCRIS, LCDB, Rudel2007",positive,-,CUARLQDWYSRQDF-UHFFFAOYSA-N,C1CC2=CC=C(C3=CC=CC1=C23)[N+](=O)[O-]
60391-92-6,DTXSID3020251,Carboxymethylnitrosourea,MC,"LCDB, Rudel2007",positive,-,JWFMCQPAQYKFDP-UHFFFAOYSA-N,C(C(=O)O)N(C(=O)N)N=O
607-57-8,DTXSID2020971,2-Nitrofluorene,MC,"IARC, Rudel2007",positive,-,XFOHWECQTFIEIX-UHFFFAOYSA-N,C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-]
61-57-4,DTXSID6045244,Niridazole,MC,"IARC, CCRIS, Rudel2007",positive,-,RDXLYGJSWZYTFJ-UHFFFAOYSA-N,C1CN(C(=O)N1)C2=NC=C(S2)[N+](=O)[O-]
612-82-8,DTXSID6020511,"3,3'-Dimethylbenzidine dihydrochloride",MC,"IARC, ROC15, NTP, CCRIS, LCDB",positive,"E2, P4",LUKPNZHXJRJBAN-UHFFFAOYSA-N,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N.Cl.Cl
613-13-8,DTXSID2024458,2-Aminoanthracene,MC,"CCRIS, Rudel2007",positive,-,YCSBALJAGZKWFF-UHFFFAOYSA-N,C1=CC=C2C=C3C=C(C=CC3=CC2=C1)N
613-35-4,DTXSID9036854,"N,N'-Diacetylbenzidine",MC,"IARC, CCRIS, Rudel2007",positive,-,CZVHCFKUXGRABC-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)C
62-44-2,DTXSID1021116,Phenacetin,MC,"LCDB, Rudel2007",positive,-,CPJSUEIXXCENMM-UHFFFAOYSA-N,CCOC1=CC=C(C=C1)NC(=O)C
62-50-0,DTXSID6025309,Ethyl methanesulfonate,MC,"ROC15, Rudel2007",positive,-,PLUBXMRUUVWRLT-UHFFFAOYSA-N,CCOS(=O)(=O)C
62-73-7,DTXSID5020449,Dichlorvos,MC,"IARC, NTP_equivocal, EPA_OPP_dismissed, ToxRefDB, CCRIS, LCDB_equivocal, Rudel2007",positive,*P4,OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl
62450-07-1,DTXSID5043768,Trp-P-2,MC,"CCRIS, Rudel2007",positive,-,LKKMLIBUAXYLOY-UHFFFAOYSA-N,CC1=C2C3=CC=CC=C3NC2=CC(=N1)N
630-20-6,DTXSID2021317,"1,1,1,2-Tetrachloroethane",MC,IARC,positive,-,QVLAWKAXOMEXPM-UHFFFAOYSA-N,C(C(Cl)(Cl)Cl)Cl
630-56-8,DTXSID6043915,"17-((1-Oxohexyl)oxy)pregn-4-ene-3,20-dione",MC,"IARC, Rudel2007",-,negative,DOMWKUIIPQCAJU-LJHIYBGHSA-N,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C
63019-65-8,DTXSID8020389,N-1-Diacetamidofluorene,MC,"LCDB, Rudel2007",-,-,SKNCUWLBDFPISU-UHFFFAOYSA-N,CC(=O)N(C1=CC=CC2=C1CC3=CC=CC=C32)C(=O)C
636-21-5,DTXSID7021364,2-Methylaniline hydrochloride,MC,"NTP, ToxRefDB, CCRIS, LCDB",positive,negative,OGVXWEOZQMAAIM-UHFFFAOYSA-N,CC1=CC=CC=C1N.Cl
63642-17-1,DTXSID1020851,N-(N-Methyl-N-nitrosocarbamoyl)-l-ornithine,MC,"CCRIS, LCDB, Rudel2007",-,-,QEQYAQFYVFRGQD-YFKPBYRVSA-N,CN(C(=O)NCCC[C@@H](C(=O)O)N)N=O
64-17-5,DTXSID9020584,Ethanol,MC,IARC,positive,-,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO
6459-94-5,DTXSID8021224,C.I. Acid Red 114,MC,"IARC, ROC15_equivocal, NTP_equivocal, LCDB_equivocal, Rudel2007",positive,-,HNBQFKZSMFFZQY-UHFFFAOYSA-L,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)N=NC3=C(C=C(C=C3)C4=CC(=C(C=C4)N=NC5=C(C=CC6=CC(=CC(=C65)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)C.[Na+].[Na+]
66-75-1,DTXSID8026270,Uracil mustard,MC,"CCRIS, Rudel2007",positive,-,IDPUKCWIGUEADI-UHFFFAOYSA-N,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl
67-20-9,DTXSID7020972,Nitrofurantoin,MC,"IARC, CCRIS, Rudel2007",positive,negative,NXFQHRVNIOXGAQ-YCRREMRBSA-N,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
67651-34-7,DTXSID5022350,"2,3,4,5-Tetrachloro-4'-biphenylol",MC,"IARC, CCRIS",-,-,RESKVBRHSNTJNG-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)O
68-22-4,DTXSID9023380,Norethindrone,MC,"IARC, ROC15, Rudel2007",negative,negative,VIKNJXKGJWUCNN-XGXHKTLJSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
