ID (for name),Name and abbreviation,CAS no.,EC / List no.,Health effects,Environmental effects,Status,Regulatory Field,Year,Appears on lists,Source list,List category,IsomericSMILES,InChIKey
337,"17-(4-nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol",34166-38-6,,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO,CEWJCLBGTPZECP-UHFFFAOYSA-N
337,"17-(4-nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol",34166-38-6,,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO,CEWJCLBGTPZECP-UHFFFAOYSA-N
336,2-(4-nonylphenoxy)ethanol,104-35-8,,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCO,KUXGUCNZFCVULO-UHFFFAOYSA-N
336,2-(4-nonylphenoxy)ethanol,104-35-8,,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCO,KUXGUCNZFCVULO-UHFFFAOYSA-N
772,2-(isononylphenoxy)ethanol,85005-55-6,284-987-5,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CC(C)CCCCCCC1=CC=CC=C1OCCO,YWFWPJLGQZVOCG-UHFFFAOYSA-N
772,2-(isononylphenoxy)ethanol,85005-55-6,284-987-5,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CC(C)CCCCCCC1=CC=CC=C1OCCO,YWFWPJLGQZVOCG-UHFFFAOYSA-N
763,2-(nonylphenoxy)ethanol,27986-36-3,248-762-5,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCO,IEORSVTYLWZQJQ-UHFFFAOYSA-N
763,2-(nonylphenoxy)ethanol,27986-36-3,248-762-5,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCO,IEORSVTYLWZQJQ-UHFFFAOYSA-N
330,2-[2-(4-nonylphenoxy)ethoxy]ethanol,20427-84-3,243-816-4,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,BLXVTZPGEOGTGG-UHFFFAOYSA-N
330,2-[2-(4-nonylphenoxy)ethoxy]ethanol,20427-84-3,243-816-4,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,BLXVTZPGEOGTGG-UHFFFAOYSA-N
757,2-[2-(nonylphenoxy)ethoxy]ethanol,27176-93-8,248-291-5,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCO,RRLGETDMEIMLQU-UHFFFAOYSA-N
757,2-[2-(nonylphenoxy)ethoxy]ethanol,27176-93-8,248-291-5,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCO,RRLGETDMEIMLQU-UHFFFAOYSA-N
320,2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethanol,7311-27-5,230-770-5,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCO,UTXPMECBRCEYCI-UHFFFAOYSA-N
320,2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethanol,7311-27-5,230-770-5,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCO,UTXPMECBRCEYCI-UHFFFAOYSA-N
278,"2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethanol",2315-67-5,621-345-9,,Yes,Environmental candidate list,REACH,2012,List I,List I,List I,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,JYCQQPHGFMYQCF-UHFFFAOYSA-N
278,"2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethanol",2315-67-5,621-345-9,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,JYCQQPHGFMYQCF-UHFFFAOYSA-N
340,"2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethanol",1119449-37-4,687-832-3,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCC(C)(CCC(C)C)C1=CC=C(C=C1)OCCO,QRFCMJANHDRHEH-UHFFFAOYSA-N
340,"2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethanol",1119449-37-4,687-832-3,,Yes,Health candidate list,REACH,2013,List I,List I,List I,CCC(C)(CCC(C)C)C1=CC=C(C=C1)OCCO,QRFCMJANHDRHEH-UHFFFAOYSA-N
279,"2-{2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy}ethanol",2315-61-9,,,Yes,Environmental candidate list,REACH,2012,List I,List I,List I,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCO,LBCZOTMMGHGTPH-UHFFFAOYSA-N
279,"2-{2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy}ethanol",2315-61-9,,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCO,LBCZOTMMGHGTPH-UHFFFAOYSA-N
338,"2-{2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethoxy}ethanol",1119449-38-5,687-833-9,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCC(C)(CCC(C)C)C1=CC=C(C=C1)OCCOCCO,MXEUZASFOXCTSR-UHFFFAOYSA-N
338,"2-{2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethoxy}ethanol",1119449-38-5,687-833-9,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCC(C)(CCC(C)C)C1=CC=C(C=C1)OCCOCCO,MXEUZASFOXCTSR-UHFFFAOYSA-N
260,"2,2-dibromo-2-cyanoacetamide (DBNPA)",10222-01-2,233-539-7,Yes,Yes,Legally adopted,BPR,2024,List I,List I,List I,C(#N)C(C(=O)N)(Br)Br,UUIVKBHZENILKB-UHFFFAOYSA-N
260,"2,2-dibromo-2-cyanoacetamide (DBNPA)",10222-01-2,233-539-7,Yes,Yes,Concluded ED in BPC opinion,BPR,2021,List I,List I,List I,C(#N)C(C(=O)N)(Br)Br,UUIVKBHZENILKB-UHFFFAOYSA-N
319,"20-(4-nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",27942-27-4,248-743-1,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,ATBQNLZREVOGBO-UHFFFAOYSA-N
319,"20-(4-nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",27942-27-4,248-743-1,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,ATBQNLZREVOGBO-UHFFFAOYSA-N
766,"20-(isononylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",,,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CC(C)CCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCO,GNZROVOUESKWSK-UHFFFAOYSA-N
766,"20-(isononylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",,,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CC(C)CCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCO,GNZROVOUESKWSK-UHFFFAOYSA-N
787,"20-(nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",27177-03-3,248-292-0,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCO,HPBDNFXBBNDIIU-UHFFFAOYSA-N
787,"20-(nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",27177-03-3,248-292-0,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCO,HPBDNFXBBNDIIU-UHFFFAOYSA-N
276,"20-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-3,6,9,12,15,18-hexaoxaicosan-1-ol",2497-59-8,219-682-8,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,HNLXNOZHXNSSPN-UHFFFAOYSA-N
276,"20-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-3,6,9,12,15,18-hexaoxaicosan-1-ol",2497-59-8,219-682-8,,Yes,Environmental candidate list,REACH,2012,List I,List I,List I,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,HNLXNOZHXNSSPN-UHFFFAOYSA-N
344,"23-(nonylphenoxy)-3,6,9,12,15,18,21-heptaoxatricosan-1-ol",27177-05-5,248-293-6,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,XXPRRHYTDCWGRP-UHFFFAOYSA-N
344,"23-(nonylphenoxy)-3,6,9,12,15,18,21-heptaoxatricosan-1-ol",27177-05-5,248-293-6,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,XXPRRHYTDCWGRP-UHFFFAOYSA-N
326,"26-(4-Nonylphenoxy)-3,6,9,12,15,18,21,24- octaoxahexacosan -1-ol",14409-72-4,604-395-6,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,FBWNMEQMRUMQSO-UHFFFAOYSA-N
326,"26-(4-Nonylphenoxy)-3,6,9,12,15,18,21,24- octaoxahexacosan -1-ol",14409-72-4,604-395-6,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,FBWNMEQMRUMQSO-UHFFFAOYSA-N
